0,0,0,3
1,0,1,4
2,0,2,5
3,0,3,5
4,0,7,4
5,0,4,3
6,0,8,3
7,0,9,3
8,1,0,3
9,1,1,4
10,1,2,4
11,1,3,4
12,1,7,5
13,1,4,5
14,1,8,5
15,1,9,4
16,2,0,4
17,2,1,3
18,2,2,3
19,2,3,5
20,2,7,5
21,2,4,3
22,2,8,4
23,2,9,5
24,3,0,5
25,3,1,4
26,3,2,3
27,3,3,3
28,3,7,3
29,3,4,3
30,3,8,4
31,3,9,4
32,4,0,4
33,4,1,5
34,4,2,5
35,4,3,5
36,4,7,4
37,4,4,4
38,4,8,3
39,4,9,3
40,5,0,5
41,5,1,5
42,5,2,3
43,5,3,4
44,5,7,5
45,5,4,5
46,5,8,4
47,5,9,3
48,6,0,3
49,6,1,3
50,6,2,3
51,6,3,4
52,6,7,4
53,6,4,4
54,6,8,5
55,6,9,5
56,7,0,5
57,7,1,4
58,7,2,4
59,7,3,3
60,7,7,3
61,7,4,5
62,7,8,5
63,7,9,3
64,8,0,4
65,8,1,5
66,8,2,5
67,8,3,4
68,8,7,3
69,8,4,3
70,8,8,3
71,8,9,3
72,9,0,4
73,9,1,4
74,9,2,4
75,9,3,5
76,9,7,5
77,9,4,5
78,9,8,4
79,9,9,4
80,10,0,3
81,10,1,3
82,10,2,5
83,10,10,5
84,10,11,3
85,10,4,4
86,10,12,5
87,10,13,5
88,11,0,4
89,11,1,3
90,11,2,3
91,11,10,3
92,11,11,3
93,11,4,4
94,11,12,4
95,11,13,4
96,12,0,5
97,12,1,5
98,12,2,5
99,12,10,4
100,12,11,4
101,12,4,3
102,12,12,3
103,12,13,5
104,13,0,5
105,13,1,3
106,13,2,4
107,13,10,5
108,13,11,5
109,13,4,4
110,13,12,3
111,13,13,3
112,14,0,3
113,14,1,3
114,14,2,4
115,14,10,4
116,14,11,4
117,14,4,5
118,14,12,5
119,14,13,5
120,15,0,4
121,15,1,4
122,15,2,3
123,15,10,3
124,15,11,5
125,15,4,5
126,15,12,3
127,15,13,4
128,16,0,5
129,16,1,5
130,16,2,4
131,16,10,3
132,16,11,3
133,16,4,3
134,16,12,3
135,16,13,4
136,17,0,4
137,17,1,4
138,17,2,5
139,17,10,5
140,17,11,5
141,17,4,4
142,17,12,4
143,17,13,3
144,18,0,3
145,18,1,5
146,18,2,5
147,18,10,3
148,18,11,4
149,18,4,5
150,18,12,5
151,18,13,4
152,19,0,3
153,19,1,3
154,19,2,3
155,19,10,3
156,19,11,4
157,19,4,4
158,19,12,4
159,19,13,5
160,20,0,5
161,20,1,5
162,20,2,4
163,20,10,4
164,20,14,3
165,20,15,3
166,20,4,5
167,20,16,5
168,20,3,3
169,20,17,4
170,20,18,5
171,20,19,5
172,21,0,4
173,21,1,3
174,21,2,3
175,21,10,3
176,21,14,3
177,21,15,4
178,21,4,4
179,21,16,4
180,21,3,5
181,21,17,5
182,21,18,5
183,21,19,4
184,22,0,4
185,22,1,3
186,22,2,3
187,22,10,5
188,22,14,5
189,22,15,3
190,22,4,4
191,22,16,5
192,22,3,5
193,22,17,4
194,22,18,3
195,22,19,3
196,23,0,3
197,23,1,3
198,23,2,4
199,23,10,4
200,23,14,4
201,23,15,5
202,23,4,5
203,23,16,5
204,23,3,4
205,23,17,4
206,23,18,3
207,23,19,3
208,24,0,5
209,24,1,5
210,24,2,3
211,24,10,4
212,24,14,5
213,24,15,5
214,24,4,4
215,24,16,3
216,24,3,3
217,24,17,3
218,24,18,3
219,24,19,4
220,25,0,4
221,25,1,4
222,25,2,5
223,25,10,5
224,25,14,5
225,25,15,4
226,25,4,4
227,25,16,3
228,25,3,3
229,25,17,5
230,25,18,5
231,25,19,3
232,26,0,4
233,26,1,5
234,26,2,5
235,26,10,4
236,26,14,3
237,26,15,3
238,26,4,3
239,26,16,3
240,26,3,4
241,26,17,4
242,26,18,4
243,26,19,5
244,27,0,5
245,27,1,5
246,27,2,4
247,27,10,4
248,27,14,3
249,27,15,3
250,27,4,5
251,27,16,5
252,27,3,4
253,27,17,3
254,27,18,5
255,27,19,4
256,28,0,3
257,28,1,5
258,28,2,4
259,28,10,4
260,28,14,4
261,28,15,3
262,28,4,3
263,28,16,3
264,28,3,5
265,28,17,5
266,28,18,5
267,28,19,5
268,29,0,4
269,29,1,3
270,29,2,4
271,29,10,5
272,29,14,3
273,29,15,5
274,29,4,4
275,29,16,4
276,29,3,4
277,29,17,3
278,29,18,3
279,29,19,3
280,30,0,5
281,30,20,5
282,30,21,5
283,30,22,5
284,30,4,4
285,30,5,3
286,30,6,4
287,30,23,5
288,31,0,3
289,31,20,5
290,31,21,4
291,31,22,4
292,31,4,4
293,31,5,3
294,31,6,3
295,31,23,3
296,32,0,5
297,32,20,5
